year,month,n_members,n_rides_members,n_occasional,n_rides_occasional
2015, 0, 22, 0, 0, 0
2015, 1, 73, 0, 0, 0
2015, 2, 6975, 0, 0, 0
2015, 3, 7321, 139848, 7138, 14403
2015, 4, 7243, 467187, 40628, 92946
2015, 5, 4302, 461978, 43852, 98209
2015, 6, 4069, 512981, 51856, 122447
2015, 7, 3098, 480332, 54991, 132383
2015, 8, 1807, 450579, 37977, 84562
2015, 9, 590, 308218, 16585, 32517
2015, 10, 215, 119823, 4959, 9423
2015, 11, 29, 0, 0, 0
2014, 0, 68, 0, 0, 0
2014, 1, 88, 0, 0, 0
2014, 2, 675, 0, 0, 0
2014, 3, 8000, 100103, 4380, 10693
2014, 4, 9221, 410765, 21164, 56893
2014, 5, 5568, 466959, 26382, 73300
2014, 6, 5537, 507335, 26396, 77276
2014, 7, 4309, 478428, 29877, 93581
2014, 8, 1805, 446177, 15449, 43033
2014, 9, 746, 317288, 8066, 21488
2014, 10, 278, 110161, 1455, 3747
2016, 0, 11, 0, 0, 0
2016, 1, 50, 0, 0, 0
2016, 2, 5297, 0, 0, 0
2016, 3, 10871, 170324, 15963, 31038
2016, 4, 7460, 474104, 60723, 115374
2014, 11, 30, 0, 0, 0
2016, 5, 4390, 531754, 66685, 130221
2016, 6, 3999, 559020, 84970, 175650
2016, 7, 3449, 540892, 75990, 164743
2016, 8, 2093, 526583, 59011, 119941
2016, 9, 722, 353349, 27584, 52091
2016, 10, 2152, 140889, 7702, 13925
2017, 0, 38, 0, 0, 0
2017, 1, 46, 0, 0, 0
2017, 2, 5535, 0, 0, 0
2017, 3, 10510, 168175, 18194, 34348
2016, 11, 67, 0, 0, 0
2017, 4, 8525, 494032, 63745, 111664
2017, 5, 6026, 618114, 77379, 150025
2017, 6, 6953, 683360, 113916, 217851